location,date,b3001,b3002,b3003,b3004,b3005,b3006
?,9-10-2020 7:32:52 PM,-53,-200,-200,-76,-200,-65
?,9-10-2020 7:32:53 PM,-54,-200,-200,-69,-200,-74
?,9-10-2020 7:32:54 PM,-57,-200,-200,-69,-90,-75
?,9-10-2020 7:32:55 PM,-59,-200,-66,-73,-85,-69
?,9-10-2020 7:32:56 PM,-58,-200,-86,-70,-200,-78
?,9-10-2020 7:32:57 PM,-60,-77,-78,-77,-91,-59
?,9-10-2020 7:32:58 PM,-65,-200,-200,-73,-86,-74
?,9-10-2020 7:32:59 PM,-59,-200,-69,-67,-200,-85
?,9-10-2020 7:33:00 PM,-60,-200,-200,-59,-200,-74
?,9-10-2020 7:33:01 PM,-65,-89,-200,-70,-94,-76
?,9-10-2020 7:33:02 PM,-65,-200,-200,-75,-78,-78
?,9-10-2020 7:33:03 PM,-58,-72,-200,-72,-200,-72
?,9-10-2020 7:33:04 PM,-61,-200,-200,-70,-96,-80
?,9-10-2020 7:33:05 PM,-63,-200,-200,-67,-85,-71
?,9-10-2020 7:33:06 PM,-67,-200,-61,-70,-88,-70
?,9-10-2020 7:33:07 PM,-75,-200,-200,-70,-86,-73
?,9-10-2020 7:33:08 PM,-65,-200,-200,-67,-200,-74
?,9-10-2020 7:33:09 PM,-64,-200,-69,-70,-71,-74
?,9-10-2020 7:33:10 PM,-65,-200,-200,-65,-86,-69
?,9-10-2020 7:33:11 PM,-57,-200,-65,-70,-200,-66
?,9-10-2020 7:33:12 PM,-72,-77,-200,-65,-86,-65
?,9-10-2020 7:33:13 PM,-61,-200,-200,-74,-81,-65
?,9-10-2020 7:33:14 PM,-63,-90,-51,-61,-84,-61
?,9-10-2020 7:33:15 PM,-60,-200,-69,-62,-91,-67
?,9-10-2020 7:33:16 PM,-65,-81,-75,-72,-86,-69
?,9-10-2020 7:33:17 PM,-61,-200,-200,-66,-81,-79
?,9-10-2020 7:33:18 PM,-61,-88,-200,-66,-75,-77
?,9-10-2020 7:33:19 PM,-68,-200,-60,-68,-84,-74
?,9-10-2020 7:33:20 PM,-52,-72,-200,-73,-85,-72
?,9-10-2020 7:33:21 PM,-54,-200,-200,-76,-83,-77
?,9-10-2020 7:33:22 PM,-58,-200,-200,-66,-80,-77
?,9-10-2020 7:33:23 PM,-61,-200,-200,-70,-77,-67
?,9-10-2020 7:33:24 PM,-57,-200,-200,-78,-81,-77
?,9-10-2020 7:33:25 PM,-56,-200,-200,-80,-82,-76
?,9-10-2020 7:33:26 PM,-57,-90,-83,-71,-90,-74
?,9-10-2020 7:33:27 PM,-60,-200,-200,-68,-200,-81
?,9-10-2020 7:33:28 PM,-58,-200,-200,-69,-200,-79
?,9-10-2020 7:33:29 PM,-59,-200,-80,-74,-77,-87
?,9-10-2020 7:33:30 PM,-59,-200,-67,-75,-79,-85
?,9-10-2020 7:33:31 PM,-65,-200,-63,-74,-82,-85
?,9-10-2020 7:33:32 PM,-62,-200,-200,-69,-82,-84
?,9-10-2020 7:33:33 PM,-56,-200,-72,-67,-200,-89
?,9-10-2020 7:33:34 PM,-62,-200,-200,-70,-200,-87
?,9-10-2020 7:33:35 PM,-62,-200,-200,-64,-84,-83
?,9-10-2020 7:33:36 PM,-54,-200,-200,-68,-200,-90
?,9-10-2020 7:33:37 PM,-65,-200,-200,-73,-86,-84
?,9-10-2020 7:33:38 PM,-66,-200,-200,-65,-78,-89
?,9-10-2020 7:33:39 PM,-61,-200,-73,-70,-200,-85
?,9-10-2020 7:33:40 PM,-61,-82,-200,-70,-200,-82
?,9-10-2020 7:33:41 PM,-67,-200,-71,-74,-87,-80
?,9-10-2020 7:33:42 PM,-58,-200,-200,-78,-200,-81
?,9-10-2020 7:33:43 PM,-51,-200,-68,-59,-81,-71
?,9-10-2020 7:33:44 PM,-54,-86,-79,-64,-200,-68
?,9-10-2020 7:33:45 PM,-58,-200,-200,-69,-82,-76
?,9-10-2020 7:33:46 PM,-71,-80,-200,-61,-82,-80
?,9-10-2020 7:33:47 PM,-75,-200,-200,-62,-95,-68
?,9-10-2020 7:33:48 PM,-73,-71,-200,-65,-89,-72
?,9-10-2020 7:33:49 PM,-63,-81,-62,-62,-200,-77
?,9-10-2020 7:33:50 PM,-68,-200,-90,-59,-200,-79
?,9-10-2020 7:33:51 PM,-67,-200,-200,-49,-200,-72
?,9-10-2020 7:33:52 PM,-68,-82,-200,-46,-200,-69
?,9-10-2020 7:33:53 PM,-69,-200,-64,-53,-82,-75
?,9-10-2020 7:33:54 PM,-68,-200,-81,-50,-82,-75
?,9-10-2020 7:33:55 PM,-70,-51,-200,-41,-200,-71
?,9-10-2020 7:33:56 PM,-68,-200,-200,-45,-92,-74
?,9-10-2020 7:33:57 PM,-75,-200,-200,-46,-200,-74
?,9-10-2020 7:33:58 PM,-72,-200,-66,-52,-200,-79
?,9-10-2020 7:33:59 PM,-72,-200,-62,-57,-96,-73
?,9-10-2020 7:34:00 PM,-73,-200,-79,-60,-76,-61
?,9-10-2020 7:34:01 PM,-72,-63,-200,-50,-96,-66
?,9-10-2020 7:34:02 PM,-71,-200,-72,-39,-200,-57
?,9-10-2020 7:34:03 PM,-72,-54,-200,-55,-200,-69
?,9-10-2020 7:34:04 PM,-77,-200,-200,-47,-200,-76
?,9-10-2020 7:34:05 PM,-75,-200,-200,-49,-200,-71
?,9-10-2020 7:34:06 PM,-78,-200,-200,-47,-200,-82
?,9-10-2020 7:34:07 PM,-80,-200,-200,-47,-200,-81
?,9-10-2020 7:34:08 PM,-70,-60,-200,-46,-200,-76
?,9-10-2020 7:34:09 PM,-73,-200,-200,-44,-200,-82
?,9-10-2020 7:34:10 PM,-62,-75,-90,-47,-200,-81
?,9-10-2020 7:34:11 PM,-73,-200,-200,-46,-200,-83
?,9-10-2020 7:34:12 PM,-69,-79,-200,-44,-200,-79
?,9-10-2020 7:34:13 PM,-72,-200,-200,-50,-200,-82
?,9-10-2020 7:34:14 PM,-70,-82,-89,-39,-200,-82
?,9-10-2020 7:34:15 PM,-71,-200,-200,-48,-200,-80
?,9-10-2020 7:34:16 PM,-65,-86,-200,-47,-200,-80
?,9-10-2020 7:34:17 PM,-78,-200,-77,-50,-84,-73
?,9-10-2020 7:34:18 PM,-77,-80,-76,-40,-95,-78
?,9-10-2020 7:34:19 PM,-75,-200,-84,-42,-98,-78
?,9-10-2020 7:34:20 PM,-70,-200,-200,-49,-200,-78
?,9-10-2020 7:34:21 PM,-80,-200,-200,-54,-200,-84
?,9-10-2020 7:34:22 PM,-74,-80,-200,-51,-200,-79
?,9-10-2020 7:34:23 PM,-67,-200,-73,-55,-200,-78
?,9-10-2020 7:34:24 PM,-76,-62,-200,-53,-83,-69
?,9-10-2020 7:34:25 PM,-69,-200,-200,-38,-200,-72
?,9-10-2020 7:34:26 PM,-65,-200,-200,-41,-200,-70
?,9-10-2020 7:34:27 PM,-72,-200,-200,-46,-200,-69
?,9-10-2020 7:34:28 PM,-70,-62,-200,-50,-82,-78
?,9-10-2020 7:34:29 PM,-70,-200,-200,-47,-200,-72
?,9-10-2020 7:34:30 PM,-57,-78,-200,-43,-81,-75
?,9-10-2020 7:34:31 PM,-70,-200,-61,-46,-79,-72
?,9-10-2020 7:34:32 PM,-73,-58,-200,-57,-200,-68
?,9-10-2020 7:34:33 PM,-66,-200,-200,-53,-200,-66
?,9-10-2020 7:34:34 PM,-65,-200,-200,-51,-200,-68
?,9-10-2020 7:34:35 PM,-64,-75,-200,-52,-200,-69
?,9-10-2020 7:34:36 PM,-65,-200,-73,-54,-200,-63
?,9-10-2020 7:34:37 PM,-70,-71,-200,-51,-200,-64
?,9-10-2020 7:34:38 PM,-71,-200,-200,-53,-81,-65
?,9-10-2020 7:34:39 PM,-59,-200,-200,-45,-200,-63
?,9-10-2020 7:34:40 PM,-71,-77,-200,-48,-95,-74
?,9-10-2020 7:34:41 PM,-78,-200,-82,-62,-86,-79
?,9-10-2020 7:34:42 PM,-68,-200,-200,-50,-93,-80
?,9-10-2020 7:34:43 PM,-82,-200,-200,-59,-200,-78
?,9-10-2020 7:34:44 PM,-80,-69,-200,-54,-200,-75
?,9-10-2020 7:34:45 PM,-79,-200,-75,-56,-91,-74
?,9-10-2020 7:34:46 PM,-86,-55,-71,-56,-200,-75
?,9-10-2020 7:34:47 PM,-82,-200,-90,-51,-95,-82
?,9-10-2020 7:34:48 PM,-73,-74,-200,-66,-90,-72
?,9-10-2020 7:34:49 PM,-79,-200,-200,-57,-200,-75
?,9-10-2020 7:34:50 PM,-77,-57,-85,-58,-82,-69
?,9-10-2020 7:34:51 PM,-76,-200,-54,-46,-200,-78
?,9-10-2020 7:34:52 PM,-75,-200,-51,-44,-84,-69
?,9-10-2020 7:34:53 PM,-78,-200,-200,-49,-95,-77
?,9-10-2020 7:34:54 PM,-78,-77,-200,-49,-83,-74
?,9-10-2020 7:34:55 PM,-71,-200,-54,-51,-82,-80
?,9-10-2020 7:34:56 PM,-65,-70,-80,-49,-200,-76
?,9-10-2020 7:34:57 PM,-71,-200,-200,-52,-200,-84
